timestamp,connection_id,client_addr,rtt_ms,throughput_kbps,retransmissions,cwnd_simulated,policy_applied
1764625709.7124915,1,127.0.0.1:56302,51.7835639336982,0.0,0,4096,none
1764625710.7328668,1,127.0.0.1:56302,50.0,0.0,0,4096,none
1764625712.3865576,1,127.0.0.1:56302,50.0,0.17202152420773412,0,4096,none
1764625713.4041557,1,127.0.0.1:56302,50.0,0.13474760183041337,0,4096,none
1764625714.41369,1,127.0.0.1:56302,50.0,0.11090660043546023,0,4096,none
1764625715.4181027,1,127.0.0.1:56302,50.0,0.09430567346295309,0,4096,none
1764625716.4234803,1,127.0.0.1:56302,50.0,0.08201722585217687,0,4096,none
1764625717.4268777,1,127.0.0.1:56302,50.0,0.0725785453522663,0,4096,none
1764625718.4424589,1,127.0.0.1:56302,50.0,0.06500663412475034,0,4096,none
1764625719.44929,1,127.0.0.1:56302,51.742027026824886,0.058913330011894055,0,4096,none
1764625720.4614053,1,127.0.0.1:56302,50.0,0.053840208981007436,0,4096,none
1764625721.4672244,1,127.0.0.1:56302,50.0,0.04959598694894376,0,4096,none
1764625722.4700155,1,127.0.0.1:56302,54.10010997072071,0.04598212911376357,0,4096,none
1764625723.4860036,1,127.0.0.1:56302,57.52914214197115,0.04282088324718578,0,4096,none
1764625724.4914172,1,127.0.0.1:56302,51.15380912992771,0.040093187755611805,0,4096,none
1764625725.504085,1,127.0.0.1:56302,52.679402391610836,0.037675911176361696,0,4096,none
1764625726.5187647,1,127.0.0.1:56302,50.0,0.03552952866799446,0,4096,none
1764625727.5291815,1,127.0.0.1:56302,50.0,0.033622135484586146,0,4096,none
1764625728.5330634,1,127.0.0.1:56302,50.0,0.031919621771300366,0,4096,none
1764625729.53694,1,127.0.0.1:56302,50.0,0.030381225077600833,0,4096,none
1764625730.5414276,1,127.0.0.1:56302,57.82330315731435,0.028983488186468686,0,4096,none
1764625731.555035,1,127.0.0.1:56302,52.21368631700964,0.02769764427664322,0,4096,none
1764625732.5700874,1,127.0.0.1:56302,50.0,0.02651944008880179,0,4096,none
1764625733.5867846,1,127.0.0.1:56302,50.0,0.025435701267127648,0,4096,none
